"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,2359.8,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,2340.69999999999,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,2330.3,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,2331.19999999999,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,2339.5,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,2352.9,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,2350.9,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,2336.8,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,2343.8,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,2332.4,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,2337,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,2328.3,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,2325.4,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,2334.59999999999,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,2337.3,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,2347.5,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,2347.8,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,2348.3,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,2346.59999999999,,
"MEX","Mexico","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,2335.8,,
"MEX","Mexico","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,2174,,
"MEX","Mexico","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,2146,,
"MEX","Mexico","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,2196,,
"MEX","Mexico","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,2143,,
"MEX","Mexico","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,2123,,
"MEX","Mexico","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,2105,,
"MEX","Mexico","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,2067,,
"MEX","Mexico","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,2045,,
"MEX","Mexico","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,2105,,
"MEX","Mexico","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1973,,
"MEX","Mexico","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,2150,,
"MEX","Mexico","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,2121,,
"MEX","Mexico","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,2120,,
"MEX","Mexico","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,2136,,
"MEX","Mexico","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,2134,,
"MEX","Mexico","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,2140,,
"MEX","Mexico","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,2146,,
"MEX","Mexico","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,2148,,
"MEX","Mexico","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,2149,,
"MEX","Mexico","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,2137,,
