"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1831,,
"USA","United States","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1811,,
"USA","United States","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1806,,
"USA","United States","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1795,,
"USA","United States","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1799,,
"USA","United States","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1795,,
"USA","United States","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1797,,
"USA","United States","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1797,,
"USA","United States","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1791,,
"USA","United States","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1768,,
"USA","United States","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1779,,
"USA","United States","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1788,,
"USA","United States","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1789,,
"USA","United States","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1787,,
"USA","United States","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1788,,
"USA","United States","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1788,,
"USA","United States","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1785,,
"USA","United States","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1783,,
"USA","United States","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1789,,
"USA","United States","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1786,,
"USA","United States","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1832,,
"USA","United States","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1811,,
"USA","United States","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1806,,
"USA","United States","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1796,,
"USA","United States","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1798,,
"USA","United States","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1794,,
"USA","United States","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1796,,
"USA","United States","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1795,,
"USA","United States","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1786,,
"USA","United States","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1760,,
"USA","United States","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1772,,
"USA","United States","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1778,,
"USA","United States","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1782,,
"USA","United States","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1780,,
"USA","United States","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1782,,
"USA","United States","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1783,,
"USA","United States","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1778,,
"USA","United States","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1778,,
"USA","United States","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1783,,
"USA","United States","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1779,,
